experiment_id,dataset,number_of_data,model,prompt_type,number_of_shots,temperature,max_tokens,stop,batch_size,pad_token,pad_token_id,eos_token_id,seed,device,accuracy,sensitivity_general,sensitivity_correct,sensitivity_incorrect,model_size
20230710_130033,cola,527,google/flan-t5-xxl,context faithful prompting,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.7324,0.2575,0.2402,0.3048,T5-11B-T
20230710_130235,rte,277,google/flan-t5-xxl,zero_a,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.3177,0.4224,0.4182,0.4243,T5-11B-T
20230710_130340,rte,277,google/flan-t5-xxl,zero_a,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.278,0.4217,0.3922,0.433,T5-11B-T
20230710_130445,rte,277,google/flan-t5-xxl,zero_a,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.3682,0.4267,0.4098,0.4366,T5-11B-T
20230710_130550,rte,277,google/flan-t5-xxl,zero_b,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.6787,0.2282,0.166,0.3596,T5-11B-T
20230710_130705,rte,277,google/flan-t5-xxl,zero_b,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.6029,0.2505,0.1617,0.3855,T5-11B-T
20230710_130821,rte,277,google/flan-t5-xxl,zero_b,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.6679,0.231,0.1578,0.3783,T5-11B-T
20230710_130936,rte,277,google/flan-t5-xxl,base_a,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.1697,0.5155,0.5277,0.513,T5-11B-T
20230710_131038,rte,277,google/flan-t5-xxl,base_a,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.1733,0.5177,0.525,0.5162,T5-11B-T
20230710_131140,rte,277,google/flan-t5-xxl,base_a,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.2166,0.5076,0.5233,0.5032,T5-11B-T
20230710_131243,rte,277,google/flan-t5-xxl,base_b,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.8375,0.2022,0.1836,0.2978,T5-11B-T
20230710_131410,rte,277,google/flan-t5-xxl,base_b,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.7798,0.2181,0.1861,0.3311,T5-11B-T
20230710_131538,rte,277,google/flan-t5-xxl,base_b,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.8014,0.2202,0.1946,0.3236,T5-11B-T
20230710_131705,rte,277,google/flan-t5-xxl,context faithful prompting,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.7906,0.2325,0.2082,0.3241,T5-11B-T
20230710_131846,rte,277,google/flan-t5-xxl,context faithful prompting,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.7365,0.2339,0.2029,0.3205,T5-11B-T
20230710_132026,rte,277,google/flan-t5-xxl,context faithful prompting,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.7798,0.2296,0.2028,0.3246,T5-11B-T
20230710_150130,cola,527,models--llama/13B,CoT,4,0.8,64,None,16,None,None,2,2266,NVIDIA A100 80GB PCIe,0.6338,0.2984,0.2712,0.3453,LLAMA-13B
20230710_152741,cola,527,models--llama/13B,CoT,4,0.8,64,None,16,None,None,2,105,NVIDIA A100 80GB PCIe,0.6641,0.3041,0.2814,0.3492,LLAMA-13B
20230710_155657,cola,527,models--llama/13B,CoT,4,0.8,64,None,16,None,None,2,86379,NVIDIA A100 80GB PCIe,0.6319,0.299,0.2745,0.341,LLAMA-13B
20230710_162850,rte,277,models--llama/13B,CoT,2,0.8,64,None,16,None,None,2,2266,NVIDIA A100 80GB PCIe,0.3827,0.4036,0.3887,0.4129,LLAMA-13B
20230710_164549,rte,277,models--llama/13B,CoT,2,0.8,64,None,16,None,None,2,105,NVIDIA A100 80GB PCIe,0.4224,0.3762,0.3556,0.3913,LLAMA-13B
20230710_170005,rte,277,models--llama/13B,CoT,2,0.8,64,None,16,None,None,2,86379,NVIDIA A100 80GB PCIe,0.4079,0.3834,0.3575,0.4012,LLAMA-13B
20230710_171613,cola,527,google/flan-t5-xxl,CoT,4,0.8,64,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.7685,0.2133,0.1922,0.2832,T5-11B-T
20230710_172655,cola,527,google/flan-t5-xxl,CoT,4,0.8,64,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.7932,0.2192,0.2002,0.2922,T5-11B-T
20230710_173738,cola,527,google/flan-t5-xxl,CoT,4,0.8,64,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.7761,0.2114,0.1957,0.266,T5-11B-T
20230710_174826,rte,277,google/flan-t5-xxl,CoT,2,0.8,64,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.7762,0.2433,0.2121,0.3516,T5-11B-T
20230710_175707,rte,277,google/flan-t5-xxl,CoT,2,0.8,64,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.7906,0.2426,0.2137,0.3517,T5-11B-T
20230710_180601,rte,277,google/flan-t5-xxl,CoT,2,0.8,64,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.7762,0.2318,0.2065,0.3194,T5-11B-T
