experiment_id,dataset,number_of_data,model,prompt_type,number_of_shots,temperature,max_tokens,stop,batch_size,pad_token,pad_token_id,eos_token_id,seed,device,accuracy,sensitivity_general,sensitivity_correct,sensitivity_incorrect,model_size
20230709_121947,rte,277,models--llama/13B,zero_a,2,0.8,2,None,16,None,None,2,86379,NVIDIA A100 80GB PCIe,0.9819,0.0224,0.0191,0.2,LLAMA-13B
20230709_122108,rte,277,models--llama/13B,zero_b,2,0.8,2,None,16,None,None,2,2266,NVIDIA A100 80GB PCIe,0.9892,0.0152,0.0131,0.2,LLAMA-13B
20230709_122242,rte,277,models--llama/13B,zero_b,2,0.8,2,None,16,None,None,2,105,NVIDIA A100 80GB PCIe,0.9928,0.0116,0.0095,0.3,LLAMA-13B
20230709_122417,rte,277,models--llama/13B,zero_b,2,0.8,2,None,16,None,None,2,86379,NVIDIA A100 80GB PCIe,0.9892,0.0116,0.0095,0.2,LLAMA-13B
20230709_122552,rte,277,models--llama/13B,base_a,2,0.8,2,None,16,None,None,2,2266,NVIDIA A100 80GB PCIe,0.0181,0.239,0.4,0.236,LLAMA-13B
20230709_122708,rte,277,models--llama/13B,base_a,2,0.8,2,None,16,None,None,2,105,NVIDIA A100 80GB PCIe,0.0108,0.2397,0.4667,0.2372,LLAMA-13B
20230709_122823,rte,277,models--llama/13B,base_a,2,0.8,2,None,16,None,None,2,86379,NVIDIA A100 80GB PCIe,0.0325,0.2419,0.4222,0.2358,LLAMA-13B
20230709_115116,rte,277,text-davinci-003,CoT,2,0.8,64,None,None,None,None,None,None,None,0.7726,0.1964,0.1804,0.2508,GPT-175B-T
20230709_122939,rte,277,models--llama/13B,base_b,2,0.8,2,None,16,None,None,2,2266,NVIDIA A100 80GB PCIe,0.4874,0.309,0.3052,0.3127,LLAMA-13B
20230709_123126,rte,277,models--llama/13B,base_b,2,0.8,2,None,16,None,None,2,105,NVIDIA A100 80GB PCIe,0.5343,0.3054,0.3162,0.293,LLAMA-13B
20230709_123314,rte,277,models--llama/13B,base_b,2,0.8,2,None,16,None,None,2,86379,NVIDIA A100 80GB PCIe,0.509,0.3004,0.2979,0.3029,LLAMA-13B
20230709_123502,rte,277,models--llama/13B,context faithful prompting,2,0.8,2,None,16,None,None,2,2266,NVIDIA A100 80GB PCIe,0.5018,0.3112,0.3137,0.3087,LLAMA-13B
20230709_123657,rte,277,models--llama/13B,context faithful prompting,2,0.8,2,None,16,None,None,2,105,NVIDIA A100 80GB PCIe,0.5162,0.3112,0.3175,0.3045,LLAMA-13B
20230709_123853,rte,277,models--llama/13B,context faithful prompting,2,0.8,2,None,16,None,None,2,86379,NVIDIA A100 80GB PCIe,0.4729,0.3004,0.2977,0.3027,LLAMA-13B
20230709_124357,rte,277,text-davinci-003,context faithful prompting,2,0.8,2,None,None,None,None,None,None,None,0.6787,0.1278,0.117,0.1506,GPT-175B-T
20230710_123959,cola,527,google/flan-t5-xxl,zero_a,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.8046,0.2024,0.1623,0.3675,T5-11B-T
20230710_124110,cola,527,google/flan-t5-xxl,zero_a,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.797,0.2088,0.1671,0.3724,T5-11B-T
20230710_124221,cola,527,google/flan-t5-xxl,zero_a,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.7989,0.1988,0.1586,0.3585,T5-11B-T
20230710_124332,cola,527,google/flan-t5-xxl,zero_b,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.9583,0.0419,0.0323,0.2636,T5-11B-T
20230710_124500,cola,527,google/flan-t5-xxl,zero_b,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.9639,0.049,0.0394,0.3053,T5-11B-T
20230710_124629,cola,527,google/flan-t5-xxl,zero_b,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.9639,0.0493,0.0398,0.3053,T5-11B-T
20230710_124757,cola,527,google/flan-t5-xxl,base_a,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.3795,0.2984,0.3165,0.2873,T5-11B-T
20230710_124900,cola,527,google/flan-t5-xxl,base_a,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.3397,0.3034,0.3142,0.2979,T5-11B-T
20230710_125004,cola,527,google/flan-t5-xxl,base_a,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.3738,0.3068,0.3058,0.3074,T5-11B-T
20230710_125107,cola,527,google/flan-t5-xxl,base_b,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.7571,0.2344,0.2157,0.2928,T5-11B-T
20230710_125254,cola,527,google/flan-t5-xxl,base_b,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.7457,0.2337,0.2148,0.2892,T5-11B-T
20230710_125441,cola,527,google/flan-t5-xxl,base_b,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,0.759,0.2367,0.2129,0.3117,T5-11B-T
20230710_125629,cola,527,google/flan-t5-xxl,context faithful prompting,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,0.6964,0.2525,0.2283,0.308,T5-11B-T
20230710_125831,cola,527,google/flan-t5-xxl,context faithful prompting,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,0.7192,0.2621,0.2407,0.3169,T5-11B-T
